kind,sigma,T,K,greek,bs,ad,se,z_score
put,0.1,2.0,80.0,vega,3.519044832936272,3.4946299423573843,0.030147729639086275,-0.8098417649080276
put,0.1,2.0,80.0,rho,-1.9407638896650155,-1.9280999573444653,0.016595825496639863,0.7630793854222098
put,0.1,2.0,100.0,delta,-0.21833831683744553,-0.21864353126784966,0.0003675490154805652,-0.8304047012751851
put,0.1,2.0,100.0,vega,41.69183236457288,41.6976723593453,0.07330312226714485,0.07966911356288872
put,0.1,2.0,100.0,rho,-47.46037663806619,-47.51446056093709,0.07963011202568938,-0.679189335479697
put,0.1,2.0,120.0,delta,-0.6954612234638126,-0.695450520608005,0.00041688001818303045,0.025673707879206732
put,0.1,2.0,120.0,vega,49.503583140709814,49.35349113803243,0.07738654516034639,-1.9395103162492804
put,0.1,2.0,120.0,rho,-161.36391016698005,-161.32585203241484,0.09490868586902257,0.40099738202809265
put,0.2,0.25,80.0,delta,-0.008054523891529719,-0.008102707783933715,7.832525015307037e-05,-0.615176999879746
put,0.2,0.25,80.0,vega,1.102542121187436,1.1060634765969053,0.01071909703204548,0.32851231768328626
put,0.2,0.25,80.0,rho,-0.20824371208506418,-0.20932699059268312,0.0020225528623005135,-0.5355996017759387
put,0.2,0.25,100.0,delta,-0.43053981679232634,-0.43033496556606005,0.0004585353774250549,0.4467511916237503
put,0.2,0.25,100.0,vega,19.644000472368965,19.61468201113931,0.026167790197812325,-1.120402640346305
put,0.2,0.25,100.0,rho,-11.60668971455591,-11.600088844601132,0.01232225005030845,0.5356870642804242
put,0.2,0.25,120.0,delta,-0.9503457783433149,-0.950230106181229,0.00021345384454510714,0.5419071384371902
put,0.2,0.25,120.0,vega,5.128315245315288,5.147099079579985,0.0428636313717759,0.43822311977668255
put,0.2,0.25,120.0,rho,-28.435919560899407,-28.43361910002547,0.00582594791796622,0.3948646480072524
put,0.2,1.0,80.0,delta,-0.07136259733507189,-0.07130505080857366,0.0002114189013944531,0.2721919663694524
put,0.2,1.0,80.0,vega,13.627194363994361,13.628342547633544,0.04057472271544502,0.028298003346443393
put,0.2,1.0,80.0,rho,-7.823449137492057,-7.819866852935469,0.023106908318223245,0.15503088977778376
put,0.2,1.0,100.0,delta,-0.3631693488243809,-0.3636177989088748,0.0004138138552439303,-1.083700023116804
put,0.2,1.0,100.0,vega,37.524034691693785,37.545344230374425,0.04773144472189242,0.44644654702576647
put,0.2,1.0,100.0,rho,-41.89046090469506,-41.93685163796298,0.04722774004809088,-0.9822772214101563
put,0.2,1.0,120.0,delta,-0.7128083620948729,-0.7129923073183712,0.0003989248936182798,-0.4611023940619415
put,0.2,1.0,120.0,vega,34.073842277010165,34.08463285251954,0.053033825713029614,0.2034659081123816
put,0.2,1.0,120.0,rho,-88.67584456613379,-88.69708329415324,0.04751192199972012,-0.44701891915843617
put,0.2,2.0,80.0,delta,-0.09958736460582185,-0.09948436613744377,0.0002313000132541888,0.4453024750365598
put,0.2,2.0,80.0,vega,24.744357919569445,24.721437901963547,0.0573772786020073,-0.3994615667445804
put,0.2,2.0,80.0,rho,-22.93191351710078,-22.90918045878852,0.05283772926457293,0.4302429084041749
put,0.2,2.0,100.0,delta,-0.3103089732188449,-0.31005682126287265,0.0003744408763961648,0.6734092666353099
put,0.2,2.0,100.0,vega,49.91418560723049,49.86121727522796,0.06299860249747162,-0.8407858254421027
put,0.2,2.0,100.0,rho,-75.28283770091812,-75.21225779695223,0.08918574584041951,0.7913809914443247
put,0.2,2.0,120.0,delta,-0.5594714544241621,-0.5595821361886244,0.000413719315676009,-0.26752863661059884
put,0.2,2.0,120.0,vega,55.7909003265798,55.829091454130975,0.06035954257703216,0.6327272527360898
put,0.2,2.0,120.0,rho,-144.91169698640343,-144.95604017426234,0.10230617123296833,-0.43343609993904375
put,0.4,0.25,80.0,delta,-0.10058632846597604,-0.10067711429173841,0.00024989720600578395,-0.36329268027218314
put,0.4,0.25,80.0,vega,8.812438202369405,8.819595482462042,0.022056633345711504,0.32449558282330043
put,0.4,0.25,80.0,rho,-2.7744673916701728,-2.776812004760666,0.0068655458680914805,-0.34150424970435067
put,0.4,0.25,100.0,delta,-0.43545606413796156,-0.4344940727664334,0.00042837312911958494,2.245685609424831
